height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,,Hash Power In Giga Hash,P_t
207648,1352743186,3368767,1.95,0x1a04faeb,589,2.4104E+13,,20.92944794,6.07596858
209664,1353928229,3438908,2.08,0x1a04e0ea,588,2.46143E+13,,19.36329878,5.983182655
211680,1355162613,3370181,-2,0x1a04fa62,612,2.41224E+13,,23.08064641,6.072559842
213696,1356530740,2979636,-11.59,0x1a05a16b,679,2.13293E+13,,24.47480664,6.658242213
215712,1357641634,3249549,9.06,0x1a0529b1,551,2.32242E+13,,21.68237904,6.24553613
217728,1358966487,2968775,-8.64,0x1a05a6b1,657,2.12376E+13,,23.61218753,6.68008568
219744,1360063146,3275464,10.33,0x1a051f3c,544,2.34399E+13,,22.22338191,6.202785716
221760,1361148470,3651011,11.47,0x1a04985c,538,2.61315E+13,,20.27145016,5.728696983
223776,1362159764,4367876,19.63,0x1a03d74b,502,3.12598E+13,,20.88471409,5.051363667
225792,1363249946,4847647,10.98,0x1a0375fa,541,3.46914E+13,,20.19199825,4.709962413
227808,1364126425,6695826,38.13,0x1a02816e,435,4.78895E+13,,21.39890022,3.852874303
229824,1365183643,7672999,14.59,0x1a022fbe,524,5.48391E+13,,25.56340376,3.567373526
231840,1366218134,8974296,16.96,0x1a01de94,513,6.42227E+13,,36.84303283,3.279917711
233856,1367296471,10076292,12.28,0x1a01aa3d,535,7.20603E+13,,40.38586263,3.097202525
235872,1368386123,11187257,11.03,0x1a017fe9,541,8.00688E+13,,45.26778087,2.94745264
237888,1369499746,12153411,8.64,0x1a016164,552,8.69833E+13,,64.46114524,2.840340746
239904,1370442318,15605632,28.41,0x1a011337,468,1.11644E+14,,64.68662782,2.56636854
241920,1371418654,19339258,23.92,0x1a00de15,484,1.38399E+14,,77.13786636,2.379550717
243936,1372515725,21335329,10.32,0x1a00c94e,544,1.52635E+14,,81.74987297,2.306840396
245952,1373502163,26162875,22.63,0x1a00a429,489,1.87275E+14,,102.101244,2.176098684
247968,1374515827,31256960,19.47,0x1a008968,503,2.23482E+14,,149.7217202,2.082764126
